filename,text
train_0.jpg,put down a resolution on the subject
train_1.jpg,and he is to be backed by Mr. Will
train_2.jpg,nominating any more Labour life Peers
train_3.jpg,M Ps tomorrow. Mr. Michael Foot has
train_4.jpg,Griffiths, M P for Manchester Exchange .
train_5.jpg,is to be made at a meeting of Labour
train_6.jpg,A MOVE to stop Mr. Gaitskell from
train_7.jpg,0M P for Manchester Exchange .
train_8.jpg,A MOVE to stop Mr. Gaitskell from nominating
train_9.jpg,meeting of Labour 0M Ps tommorow . Mr. Michael
train_10.jpg,any more Labour life Peers is to be made at a
train_11.jpg,Foot has put down a resolution on the subject
train_12.jpg,and he is to be backed by Mr. Will Griffiths ,
train_13.jpg,which would appear to " prop up " an out-dated
train_14.jpg,Though they may gather some Left-wing support , a
train_15.jpg,life peers into existence , they should not
train_16.jpg,and that Labour should not take any steps
train_17.jpg,now put forward nominees . He believes
train_18.jpg,large majority of Labour M Ps are likely to
train_19.jpg,that the House of Lords should be abolished
train_20.jpg,institution .
train_21.jpg,opposed the Government Bill which brought
train_22.jpg,turn down the Foot-Griffiths resolution . Mr.
train_23.jpg,Foot's line will be that as Labour M Ps
train_24.jpg,into existence , they should not now put
train_25.jpg,Though they may gather some Left-wing
train_26.jpg,which would appear to " prop up " an out-
train_27.jpg,House of Lords should be abolished and
train_28.jpg,M Ps are likely to turn down the Foot-
train_29.jpg,that Labour should not take any steps
train_30.jpg,be that as Labour M Ps opposed the
train_31.jpg,forward nominees . He believes that the
train_32.jpg,Government Bill which brought life peers
train_33.jpg,Griffiths resolution . Mr. Foot's line will
train_34.jpg,support , a large majority of Labour
train_35.jpg,will be that as Labour 0M Ps opposed the Govern-
train_36.jpg,that Labour should not take any steps which would
train_37.jpg,appear to " prop up " an out-dated institution .
train_38.jpg,large majority of Labour 0m Ps are likely to turn
train_39.jpg,that the House of Lords should be abolished and
train_40.jpg,Though they may gather some Left-wing support , a
train_41.jpg,down the Foot-Griffiths resolution . Mr. Foot's line
train_42.jpg,ment Bill which brought life peers into existence , they
train_43.jpg,should not now put forward nominees . He believes
train_44.jpg,get together to face the challenge from Sir
train_45.jpg,members . THE two rival African Nationalist
train_46.jpg,Roy Welensky , the Federal Premier .
train_47.jpg,Parties of Northern Rhodesia have agreed to
train_48.jpg,Peeresses have been created . Most Labour
train_49.jpg,Labour has to have an adequate number of
train_50.jpg,sentiment would # still favour the abolition
train_51.jpg,of the House of Lords , but while it remains
train_52.jpg,Since 1958 , 13 Labour life Peers and
train_53.jpg,of members . THE two rival African
train_54.jpg,Peeresses have been created . Most Labour
train_55.jpg,the challenge from Sir Roy Welensky ,
train_56.jpg,of the House of Lords , but while it remains
train_57.jpg,have agreed to get together to face
train_58.jpg,Since 1958 , 13 Labour life Peers and
train_59.jpg,the Federal Premier .
train_60.jpg,Labour has to have an adequate number
train_61.jpg,Nationalist Parties of Northern Rhodesia
train_62.jpg,sentiment would still favour the abolition
train_63.jpg,Peeresses have been created . Most Labour sentiment
train_64.jpg,Since 1958 , 13 Labour life Peers and #
train_65.jpg,of Lords , but while it remains Labour has to
train_66.jpg,challenge from Sir Roy Welensky , the Federal Premier .
train_67.jpg,two rival African Nationalist Parties of Northern
train_68.jpg,would still favour the abolition of the House
train_69.jpg,have an adequate number of members . THE
train_70.jpg,Rhodesia have agreed to get together to face the
train_71.jpg,Party ( 280,000 members ) and Mr. Harry Nkumbula's African
train_72.jpg,to discuss a common course of action . Sir Roy is
train_73.jpg,Delegates from Mr. Kenneth Kaunda's United National Independence
train_74.jpg,violently opposed to Africans getting an elected majority
train_75.jpg,in Northern Rhodesia , but the Colonial Secretary ,
train_76.jpg,National Congress ( 400,000 ) will meet in London today
train_77.jpg,Mr. Iain Macleod , is insisting on a policy of change .
train_78.jpg,Delegates from Mr. Kenneth Kaunda's
train_79.jpg,( 280,000 members ) and Mr. Harry Nkumbula's
train_80.jpg,majority in Northern Rhodesia , but the
train_81.jpg,African National Congress ( 400,000 ) will
train_82.jpg,meet in London today to discuss a common
train_83.jpg,United National Independence Party
train_84.jpg,Colonial Secretary , Mr. Iain Macleod ,
train_85.jpg,course of action . Sir Roy is violently
train_86.jpg,is insisting on a policy of change .
train_87.jpg,opposed to Africans getting an elected
train_88.jpg,Rhodesia , but the Colonial Secretary , Mr. Iain
train_89.jpg,getting an elected majority in Northern
train_90.jpg,National Independence Party ( 280,000 members )
train_91.jpg,Congress ( 400,000 ) will meet in London today
train_92.jpg,to discuss a common course of action .
train_93.jpg,Macleod , is insisting on a policy of change .
train_94.jpg,and Mr. Harry Nkumbula's African National
train_95.jpg,Delegates from Mr. Kenneth Kaunda's United
train_96.jpg,Sir Roy is violently opposed to Africans
train_97.jpg,chief aide , Mr. Julius Greenfield , telephoned
train_98.jpg,his chief a report on his talks with
train_99.jpg,the talks fall through . There are bound
train_100.jpg,to be demonstrations . " Yesterday Sir Roy's
train_101.jpg,future . Said Mr. Nkumbula last night :
train_102.jpg,Mr. Macmillan at Chequers .
train_103.jpg," We want to discuss what to do if the
train_104.jpg,Sir Roy's United Federal Party is boycotting
train_105.jpg,the London talks on the Protectorate's
train_106.jpg,British Government gives in to Sir Roy and
train_107.jpg,boycotting the London talks on the
train_108.jpg,do if the British demonstrations . "
train_109.jpg,Sir Roy's United Federal Party is
train_110.jpg,Protectorate's future . Said Mr. Nkumbula
train_111.jpg,at Chequers .
train_112.jpg,Yesterday Sir Roy's chief aide , Mr.
train_113.jpg,a report on his talks with Mr. Macmillan
train_114.jpg,Julius Greenfield , telephoned his chief
train_115.jpg,last night : " We want to discuss what to
train_116.jpg,British Government gives in to Sir Roy
train_117.jpg,and the talks fall through . There are bound
train_118.jpg,future . Said Mr. Nkumbula last night :
train_119.jpg,the London talks on the Protectorate's
train_120.jpg,chief aide , Mr. Julius Greenfield , telephoned
train_121.jpg,Macmillan at Chequers .
train_122.jpg," We want to discuss what to do if the
train_123.jpg,Sir Roy's United Federal Party is boycotting
train_124.jpg,his chief a report on his talks with Mr.
train_125.jpg,to be demonstrations . " Yesterday Sir Roy's
train_126.jpg,to the Africans and Liberals attending . These
train_127.jpg,will meet to discuss the function of a
train_128.jpg,majority they are seeking . African delegates
train_129.jpg,are studying them today . The conference
train_130.jpg,plans do not give the Africans the overall
train_131.jpg,proposed House of Chiefs .
train_132.jpg,Lancaster House despite the crisis which had
train_133.jpg,Mr. Macleod went on with the conference at
train_134.jpg,blown up . He has now revealed his full plans
train_135.jpg,Mr. Macleod went on with the conference
train_136.jpg,at Lancaster House despite the crisis
train_137.jpg,them today . The conference will meet
train_138.jpg,attending . These plans do not give the
train_139.jpg,Africans the overall majority they are
train_140.jpg,House of Chiefs .
train_141.jpg,seeking . African delegates are studying
train_142.jpg,to discuss the function of a proposed
train_143.jpg,which had blown up . He has now revealed
train_144.jpg,his full plans to the Africans and Liberals
train_145.jpg,studying them today . The conference will meet
train_146.jpg,to discuss the function of a proposed House
train_147.jpg,blown up . He has now revealed his full plans
